Page,Titre,Prix,URL,Marque,Etat du véhicule,Année,Puissance fiscale,Boite,Type de carrosserie,Couleur du véhicule,Carburant,Cylindrée,Modèle,Kilométrage
1,Jeep Compass 4xE 80th Anniversary Edition Hybrid (Limited Edition),130900DT,https://www.tayara.tn/item/68d3378a07c7711d7c74397e/Voitures/Sousse/Sahloul/Jeep_Compass_4xE_80th_Anniversary_Edition_Hybrid_Limited_Edition/,Jeep,Avec kilométrage,2022,7,Automatique,4 x 4,Gris,Essence,,Compass,124000
1,Seat Arona,72500DT,https://www.tayara.tn/item/6894c2d7fde7ee723b46de5f/Voitures/Ben_Arous/Boumhel/Seat_Arona/,Seat,Nouveau,2023,6,Automatique,Compacte,Bleu,Essence,<1.0L,Arosa,102000
1,"BMW X2 
20i 2.0i TURBO XDRIVE",148000DT,https://www.tayara.tn/item/68c88fdb516f1ddb82db18a2/Voitures/Kairouan/Kairouan_Sud/BMW_X2_20i_20i_TURBO_XDRIVE/,BMW,Nouveau,2019,11,Automatique,4 x 4,Gris,Essence,2.0L,M,75000
1,Mercedes E200,265000DT,https://www.tayara.tn/item/68de7fabe7035d31a40da6c5/Voitures/Sousse/M_Saken/Mercedes_E200/,Mercedes-Benz,Nouveau,2022,12,Automatique,Autres,Noir,Essence,2.0L,E Coupé,61000
1,🚗 Volkswagen Tiguan 2015 – Essence 2.0 – Full Options – Gulf Specs 🌟,69000DT,https://www.tayara.tn/item/68de5c58e7035d31a40d95a4/Voitures/Ariana/La_Soukra/_Volkswagen_Tiguan_2015_Essence_20_Full_Options_Gulf_Specs_/,Volkswagen,Avec kilométrage,2015,12,Automatique,4 x 4,,Essence,,Tiguan,
1,AUDI A7 NEUF,275000DT,https://www.tayara.tn/item/68d25e0b516f1ddb82e10929/Voitures/Ariana/Cit_Ennasr_2/AUDI_A7_NEUF/,Audi,Nouveau,2019,23,Automatique,Berline,Noir,Essence,3.0L,A7,22000
1,Renault Mégane Coupé TBE 54.000km au compteur,36000DT,https://www.tayara.tn/item/68beb5dba9d2ed4d7a79f326/Voitures/Tunis/El_Manar_2/Renault_Mgane_Coup_TBE_54000km_au_compteur_/,Renault,Nouveau,2011,1598,Manuelle,Compacte,Noir,Essence,1.6L,Megane Estate,54000
1,Golf 7 BVA,N/A,https://www.tayara.tn/item/68a0e3bd3398639ecd8d11bd/Voitures/Monastir/Tboulba/Golf_7_BVA/,Volkswagen,Avec kilométrage,2019,6,Automatique,Berline,Gris,Essence,1.2L,Golf 7,161000
1,Megan 4 - 2021,N/A,https://www.tayara.tn/item/68da79a1516f1ddb82e5da3c/Voitures/Sfax/Route_MANZEL_CHAKER/Megan_4_2021/,Renault,Avec kilométrage,2021,7,Automatique,Compacte,Argent,Essence,1.3L,Megane,128000
1,Isuzu DMAX,N/A,https://www.tayara.tn/item/68ceff8807c7711d7c718a6a/Voitures/Sfax/El_Hencha/Isuzu_DMAX/,Isuzu,Nouveau,2022,8,Manuelle,Pick up,Blanc,Diesel,2.0L,D-MAX,103000
1,Mercedes GLA 220d,145000DT,https://www.tayara.tn/item/68be16c8985e647fd0ea19bf/Voitures/Tunis/L_Aouina/Mercedes_GLA_220d/,Mercedes-Benz,RS,2017,9,Automatique,,Gris,Diesel,2.2L,Classe GLA,68000
1,Renault megane 4 sedan,53000DT,https://www.tayara.tn/item/6817d294c1f8f57898e9fd20/Voitures/Ariana/Ariana/_Renault_megane_4_sedan/,Renault,Avec kilométrage,2021,7,Manuelle,Berline,Noir,Essence,1.2L,Megane,60000
1,voiture MG ZS,54000DT,https://www.tayara.tn/item/68e03613e7035d31a40eba67/Voitures/Monastir/Monastir/voiture_MG_ZS/,MG,Avec kilométrage,2021,7,Automatique,4 x 4,Blanc,Essence,1.5L,e-zs,143000
1,Audi A4,60000DT,https://www.tayara.tn/item/68e034a6e7035d31a40eb94f/Voitures/Kasserine/Sbetla/Audi_A4_/,Audi,Avec kilométrage,2010,7,Manuelle,Berline,Gris,Diesel,2.0L,A4,26020100
1,mercedes c230 sport,18DT,https://www.tayara.tn/item/68e032a4e7035d31a40eb7bb/Voitures/Ben_Arous/Fouchana/mercedes_c230_sport/,Mercedes-Benz,RS,2004,12,Manuelle,Autres,Gris,Essence,1.8L,Classe C Coupe,226
1,Mazda 6,43DT,https://www.tayara.tn/item/68e031efe7035d31a40eb710/Voitures/Nabeul/Menzel_Temime/Mazda_6/,Mazda,Avec kilométrage,2017,8,Manuelle,Berline,Noir,Essence,2.0L,6,173
1,Passat b8 importé,N/A,https://www.tayara.tn/item/68e030b4e7035d31a40eb5fe/Voitures/Sfax/Sfax/Passat_b8_import_/,Volkswagen,Avec kilométrage,2012,5,Manuelle,Berline,Gris,Diesel,1.6L,Passat,200000
1,Renault super 5,8500DT,https://www.tayara.tn/item/68e0309fe7035d31a40eb5e4/Voitures/Ariana/Ariana/Renault_super_5/,Renault,Nouveau,1990,4,Manuelle,Autres,Vert,Essence,1.4L,Super 5,360000
1,càbel spiral toyota hilux,340DT,https://www.tayara.tn/item/68e02f9c6c505afdc05da7d4/Voitures/Tunis/Ain_Zaghouen/cbel_spiral_toyota_hilux_/,Toyota,Nouveau,2012,8,Manuelle,4 x 4,Noir,Diesel,2.5L,Hilux,0
1,voiture,N/A,https://www.tayara.tn/item/68e02f6f6c505afdc05da7a5/Voitures/Mdenine/Djerba_Houmt_Souk/voiture_/,Volkswagen,Avec kilométrage,2023,8,Automatique,Autres,Gris,Essence,1.4L,Tiguan,45000
1,Dacia dokker,35000DT,https://www.tayara.tn/item/68e02f08e7035d31a40eb46f/Voitures/Ben_Arous/Ezzahra/Dacia_dokker_/,Dacia,Avec kilométrage,2021,,Manuelle,Utilitaire,Noir,Diesel,1.5L,Dokker,246000
1,Seat Leon تسجيل اول,5DT,https://www.tayara.tn/item/68e02f046c505afdc05da74b/Voitures/Tunis/El_Manar_1/Seat_Leon_/,Seat,Avec kilométrage,2015,5,Manuelle,Compacte,Gris,Essence,1.2L,Leon,195
1,Peugeot 2008 BVA PACK ALLURE + TOIT,83000DT,https://www.tayara.tn/item/68e02e386c505afdc05da683/Voitures/Tunis/Centre_Urbain_Nord/Peugeot_2008_BVA_PACK_ALLURE_TOIT/,Peugeot,Nouveau,2022,7,Automatique,4 x 4,Gris,Essence,1.2L,2008,50000
1,Transfer Leasing,31DT,https://www.tayara.tn/item/68e02d7fe7035d31a40eb2e2/Voitures/Tunis/L_Aouina/Transfer_Leasing_/,MG,Nouveau,2025,10,Automatique,4 x 4,Noir,Essence,1.5L,HS,25000
1,panda importé 4cv avec toit tel 23414111,N/A,https://www.tayara.tn/item/68e02d2ae7035d31a40eb294/Voitures/Mahdia/Chorbane/panda_import_4cv_avec_toit_tel_23414111/,Fiat,Avec kilométrage,2005,4,Manuelle,Berline,Gris,Essence,1.4L,Panda,175000
1,symbol 2,30500DT,https://www.tayara.tn/item/68e02ca9e7035d31a40eb216/Voitures/Jendouba/Jendouba/symbol_2/,Renault,Avec kilométrage,2015,5,Manuelle,Berline,Doré,Essence,1.2L,Symbol,194
1,voiture Peugeot 106,1000DT,https://www.tayara.tn/item/68e02c89e7035d31a40eb1f5/Voitures/Tunis/La_Marsa/voiture_Peugeot_106/,Peugeot,Avec kilométrage,1997,4,Manuelle,Compacte,Blanc,Essence,1.4L,106,300
1,Nissan Qashqai diesel,60DT,https://www.tayara.tn/item/68e02bf3e7035d31a40eb16b/Voitures/Kbili/Douz_Sud/Nissan_Qashqai_diesel/,Nissan,Avec kilométrage,2017,7,Manuelle,4 x 4,Noir,Diesel,1.6L,Qashqai,170.000
1,a vendre,14000DT,https://www.tayara.tn/item/68e029882a86ba8c1c8eb811/Voitures/Nabeul/Soliman/a_vendre/,Dacia,Avec kilométrage,2012,6,Manuelle,Utilitaire,Blanc,Diesel,1.5L,Logan,300000
1,voiture,N/A,https://www.tayara.tn/item/68e029786c505afdc05da234/Voitures/Zaghouan/Zaghouan/voiture_/,Citroen,Avec kilométrage,2009,0000,Manuelle,Autres,Blanc,Diesel,3.0L,Berlingo,0000
1,passat b7 tdi blue motion,12333DT,https://www.tayara.tn/item/68e02777e7035d31a40ead54/Voitures/Le_Kef/Autres_Villes/passat_b7_tdi_blue_motion_/,Volkswagen,Nouveau,2010,5,Manuelle,Berline,Noir,Diesel,1.6L,Passat CC,200
1,KIA RIO COUPÉ PREMIÈRE MAIN EN ÉTAT NEUF,N/A,https://www.tayara.tn/item/68e0260ae7035d31a40eabe7/Voitures/Bizerte/Bizerte/KIA_RIO_COUP_PREMIRE_MAIN_EN_TAT_NEUF_/,Kia,Avec kilométrage,2022,5,Manuelle,Berline,Noir,Essence,1.2L,Rio,71000
1,kia Sportage premium,79500DT,https://www.tayara.tn/item/68e025e2e7035d31a40eabb2/Voitures/Ariana/Les_Jardins_El_Menzah_2/kia_Sportage_premium_/,Kia,Avec kilométrage,2021,8,Automatique,4 x 4,Bleu,Essence,1.6L,Sportage,80000
1,MG ZS BOÎTE AUTOMATIQUE PREMIÈRE ANNÉE,59000DT,https://www.tayara.tn/item/68e025986c505afdc05d9e4f/Voitures/Bizerte/Bizerte/MG_ZS_BOTE_AUTOMATIQUE_PREMIRE_ANNE_/,MG,Avec kilométrage,2020,7,Automatique,Berline,Noir,Essence,1.5L,e-zs,150000
1,SUZUKI CELERIO PREMIÈRE MAIN EN TRÈS BON ÉTAT BOÎTE MANUELLE,32000DT,https://www.tayara.tn/item/68e0257e6c505afdc05d9e32/Voitures/Ariana/Ariana/SUZUKI_CELERIO_PREMIRE_MAIN_EN_TRS_BON_TAT_BOTE_MANUELLE_/,Suzuki,Avec kilométrage,2020,4,Automatique,Pick up,Gris,Essence,1.2L,Celerio,70000
1,KIA RIO GT LINE,64500DT,https://www.tayara.tn/item/68e024776c505afdc05d9d3e/Voitures/Sfax/Sfax/KIA_RIO_GT_LINE/,Kia,Nouveau,2023,5,Manuelle,Compacte,Blanc,Essence,1.2L,Rio,49500
1,BMW X2 Sdrive 1.8,55111110DT,https://www.tayara.tn/item/68e023616c505afdc05d9c08/Voitures/Ariana/Ariana/BMW_X2_Sdrive_18/,BMW,Avec kilométrage,2019,8,Automatique,4 x 4,Doré,Essence,1.8L,Compact,84000
1,Audi A3 Sline hybride,55111110DT,https://www.tayara.tn/item/68e022c76c505afdc05d9b79/Voitures/Ariana/Ariana/Audi_A3_Sline_hybride_/,Audi,Avec kilométrage,2022,8,Automatique,Berline,Noir,Hybride essence,1.4L,A3,115000
1,land Rover Discovery,55111110DT,https://www.tayara.tn/item/68e0225ae7035d31a40ea844/Voitures/Ariana/Ariana/land_Rover_Discovery_/,Land Rover,Avec kilométrage,2017,8,Automatique,4 x 4,Noir,Diesel,2.0L,Range Rover Sport,130000
1,406 coupé,N/A,https://www.tayara.tn/item/68e0221f6c505afdc05d9af1/Voitures/Bizerte/Zarzouna/406_coup_/,Peugeot,Avec kilométrage,1999,10,Automatique,Berline,Rouge,Essence,3.0L,406,12358
1,Forsa à ne pas rater,N/A,https://www.tayara.tn/item/68e021006c505afdc05d99f9/Voitures/Sidi_Bouzid/Sidi_Bouzid/Forsa_ne_pas_rater/,Peugeot,Avec kilométrage,1986,4,Manuelle,Berline,Beige,Essence,1.2L,104,211000
1,"🚙 HAVAL JOLION 1er 🖐️ 
✅ Années 2021/10
✅ km 70mk
✅ caméras 360
✅ Essence 9cv",N/A,https://www.tayara.tn/item/68e01fd6e7035d31a40ea61c/Voitures/Sfax/Route_El_Ain/_HAVAL_JOLION_1er_Annes_202110_km_70mk_camras_360_Essence_9cv/,Haval,Nouveau,2021,9,Automatique,Autres,Bleu,Essence,1.5L,jolion,70
2,"🚙 Kia Rio tout option 
✅ km 77000mk
✅ Années 2015/03",N/A,https://www.tayara.tn/item/68e01fcf6c505afdc05d98e9/Voitures/Sfax/Route_El_Ain/_Kia_Rio_tout_option_km_77000mk_Annes_201503/,Kia,Nouveau,2015,5,Manuelle,Autres,Gris,Essence,1.2L,Rio,77000
2,vitara 4x4,N/A,https://www.tayara.tn/item/68e01e826c505afdc05d9827/Voitures/Mdenine/Djerba_Houmt_Souk/vitara_4x4/,Suzuki,Avec kilométrage,1994,9,Manuelle,4 x 4,Gris,Essence,1.6L,Vitara,000000
2,Ford fiesta 2016 à vendre,36000DT,https://www.tayara.tn/item/68e01c7c6c505afdc05d96b7/Voitures/Tunis/Tunis/Ford_fiesta_2016_vendre/,Ford,Avec kilométrage,2016,5,Manuelle,Compacte,Gris,Essence,1.2L,Fiesta,104000
2,Gilf 7,41900DT,https://www.tayara.tn/item/68e01c22e7035d31a40ea378/Voitures/Tunis/Lac_2/Gilf_7_/,Volkswagen,Avec kilométrage,2016,5,Automatique,Compacte,Noir,Essence,1.2L,Golf 7,
2,Dacia logan 1 er main 7 places seulment 128000 km reel peinture origine 0 retouche importee de l almagne matricule 255 modele 05/2009  6 cv essence 1.6 voiture utilisee un mois seulment au duree de l annee 2 airbag abs fermiture central direction assiste bleutooth 4 roues neuf  double clef numero 📲 55553563,N/A,https://www.tayara.tn/item/68e01afd6c505afdc05d959b/Voitures/Sfax/Route_El_Ain/Dacia_logan_1_er_main_7_places_seulment_128000_km_reel_peinture_origine_0_retouche_importee_de_l_almagne_matricule_255_modele_052009_6_cv_essence_16_voiture_utilisee_un_mois_seulment_au_duree_de_l_annee_2_airbag_abs_fermiture_central_direction_assiste_bleutooth_4_roues_neuf_double_clef_numero_55553563/,Dacia,Nouveau,2010,6,Automatique,Berline,Violet,Essence,1.6L,Logan MCV,120000
2,hyundai i20 2021,N/A,https://www.tayara.tn/item/68e01aeb6c505afdc05d958f/Voitures/Zaghouan/Zaghouan/hyundai_i20_2021/,Hyundai,Avec kilométrage,2021,5,Manuelle,Autres,Rouge,Essence,1.2L,I 20,130000
2,Vendre voiture,30DT,https://www.tayara.tn/item/68e01aeae7035d31a40ea271/Voitures/Tunis/Sidi_Hassine/Vendre_voiture/,Ford,,2010,,Manuelle,,Gris,,,,
2,ax ndhifa,6500DT,https://www.tayara.tn/item/68e01a9fe7035d31a40ea23a/Voitures/Ariana/Ariana_Essoughra/ax_ndhifa_/,Citroen,Avec kilométrage,1999,4,Manuelle,Berline,Rouge,Essence,1.6L,AX,220000
